file,hrefs
R_1674853885_SA_3,"['collections/pillowcases.html', 'pillowcases/products/standard-pillowcase-mermaid.html', '#']"
R_1674856144_SA_3,"['collections/gift-labels.html', 'gift-labels/products/gift-labels-rainbow.html', 'gift-labels/products/gift-labels-rainbow-unicorn.html']"
R_1674844084_SA_3,"['collections/pillowcases.html', 'pillowcases/products/pillowcase-girl.html', '#']"
R_1674851308_SA_3,"['collections/ceramic-mugs.html', 'ceramic-mugs/products/ceramic-mug-girl.html', '#']"
R_1674850146_SA_6,"['collections/note-cards.html', 'note-cards/products/personalized-note-cards-elizabeth.html', '#4', '#1', '#2', '#3']"
R_1674854231_SA_3,"['collections/camp-mugs.html', 'camp-mugs/products/camp-mug-girl.html', '#']"
R_1674868025_SA_6,"['collections/blankets.html', 'blankets/products/personalized-swaddle-blanket-uppercase-font.html', '#6', '#4', '#2', '#1']"
R_1674852534_SA_2,"['collections/puzzles.html', 'puzzles/products/personalized-puzzle-fire-truck.html']"
R_1674849748_SA_4,"['collections/pillowcases.html', 'pillowcases/products/standard-pillowcase-rainbow-unicorn.html', '#1', '#2']"
R_1674857285_SA_6,"['collections/blankets.html', 'blankets/products/personalized-swaddle-blanket-script-font.html', '#7', '#3', '#8', '#30']"
R_1674848052_SA_4,"['collections/name-labels.html', 'name-labels/products/name-labels-floral.html', '#1', '#2']"
R_1674854638_SA_2,"['collections/teacher-gifts.html', 'teacher-gifts/products/personalized-teacher-notepad-blue-school-uniforms.html']"
R_1674853690_SA_6,"['collections/tote-bags.html', 'tote-bags/products/personalized-tote-bag-library-girl.html', '#9', '#1', '#6', '#8']"
R_1674844496_SA_6,"['collections/throw-pillows.html', 'throw-pillows/products/name-lumbar-pillow-handwriting.html', '#3', '#8', '#6', '#9']"
R_1674851763_SA_4,"['collections/placemats.html', 'placemats/products/personalized-kids-placemat-dump-truck.html', '#2', '#1']"
R_1674851189_SA_6,"['collections/throw-pillows.html', 'throw-pillows/products/patterned-name-lumbar-pillow-cursive.html', '#4', '#2', '#8', '#1']"
R_1674853145_SA_6,"['collections/blankets.html', 'blankets/products/personalized-swaddle-blanket-handwriting-font.html', '#3', '#7', '#8', '#4']"
R_1674853532_SA_2,"['collections/return-address-labels.html', 'return-address-labels/products/square-return-address-labels-merry-christmas.html']"
R_1674860721_SA_4,"['collections/pillowcases.html', 'pillowcases/products/standard-pillowcase-rainbow-unicorn.html', '#1', '#2']"
R_1674867664_SA_6,"['collections/throw-pillows.html', 'throw-pillows/products/custom-throw-pillow-girl-face.html', '#3', '#89', '#2', '#1']"
R_1674853416_SA_4,"['collections/notepads.html', 'notepads/products/personalized-teacher-notepad-kids-reading.html', '#1', '#2']"
R_1674860451_SA_4,"['collections/tote-bags.html', 'tote-bags/products/copy-of-personalized-tote-bag-girl-face.html', '#2', '#1']"
R_1674858018_SA_4,"['collections/teacher-gifts.html', 'teacher-gifts/products/personalized-teacher-notepad-kids-jumping.html', '#1', '#2']"
R_1674850813_SA_4,"['collections/tote-bags.html', 'tote-bags/products/personalized-tote-bag-candy-corn.html', '#2', '#1']"
R_1674852604_SA_6,"['collections/note-cards.html', 'note-cards/products/flat-note-cards-choose-your-silhouette-boy.html', '#3', '#2', '#1', '#4']"
R_1674861234_SA_2,"['collections/notepads.html', 'notepads/products/a-note-from-mom-papaya-and-green.html']"
R_1674855665_SA_2,"['collections/return-address-labels.html', 'return-address-labels/products/return-address-labels-merry-christmas-branch.html']"
R_1674846964_SA_3,"['collections/puzzles.html', 'puzzles/products/personalized-puzzle-ballerina.html', '#']"
R_1674859103_SA_4,"['collections/gift-labels.html', 'gift-labels/products/gift-labels-square.html', '#2', '#1']"
R_1674847888_SA_2,"['collections/camp-mugs.html', 'camp-mugs/products/camp-mug-heart.html']"
R_1674857021_SA_6,"['collections/name-labels.html', 'name-labels/products/name-labels-fire-truck.html', '#4', '#1', '#3', '#2']"
R_1674850164_SA_4,"['collections/pillowcases.html', 'pillowcases/products/standard-pillowcase-great-outdoors-girl.html', '#1', '#76']"
R_1674847300_SA_2,"['collections/teacher-gifts.html', 'teacher-gifts/products/personalized-pink-chevron-notepad.html']"
R_1674855723_SA_2,"['collections/camp-mugs.html', 'camp-mugs/products/camp-mug-heart.html']"
R_1674844827_SA_3,"['collections/placemats.html', 'placemats/products/personalized-kids-placemat-princess.html', '#']"
R_1674852482_SA_4,"['collections/gift-labels.html', 'gift-labels/products/personalized-gift-labels-navy-squares.html', '#2', '#1']"
R_1674857510_SA_2,"['collections/chore-charts.html', 'chore-charts/products/handwriting-practice-notepad-green.html']"
R_1674852103_SA_2,"['collections/name-labels.html', 'name-labels/products/name-labels-solid-blues.html']"
R_1674855162_SA_6,"['collections/placemats.html', 'placemats/products/personalized-kids-placemat-place-setting.html', '#4', '#1', '#2', '#3']"
R_1674858021_SA_2,"['collections/notepads.html', 'notepads/products/a-note-from-mom-blue-banner.html']"
R_1674854513_SA_2,"['collections/camp-mugs.html', 'camp-mugs/products/camp-mug-ladybug.html']"
R_1674854039_SA_2,"['collections/camp-mugs.html', 'camp-mugs/products/camp-mug-firetruck.html']"
R_1674865019_SA_4,"['collections/tote-bags.html', 'tote-bags/products/personalized-tote-bag-bats.html', '#2', '#1']"
R_1674848186_SA_4,"['collections/pillowcases.html', 'pillowcases/products/standard-pillowcase-racecar.html', '#2', '#1']"
R_1674847015_SA_3,"['collections/notepads.html', 'notepads/products/custom-notepads-for-mom-boy.html', '#']"
R_1674860697_SA_2,"['collections/notepads.html', 'notepads/products/personalized-blue-chevron-notepad.html']"
R_1674853619_SA_2,"['collections/camp-mugs.html', 'camp-mugs/products/camp-mug-firetruck.html']"
R_1674860159_SA_6,"['collections/blankets.html', 'blankets/products/personalized-swaddle-blanket-handwriting-font.html', '#1', '#4', '#6', '#7']"
R_1674862476_SA_6,"['collections/blankets.html', 'blankets/products/personalized-swaddle-blanket-script-font.html', '#1', '#7', '#6', '#2']"
R_1674857743_SA_3,"['collections/puzzles.html', 'puzzles/products/personalized-puzzle-ballerina.html', '#']"
R_1674856450_SA_2,"['collections/notepads.html', 'notepads/products/a-note-from-mom-papaya-and-green.html']"
R_1674859336_SA_6,"['collections/note-cards.html', 'note-cards/products/personalized-note-cards-elizabeth.html', '#3', '#4', '#2', '#1']"
R_1674857813_SA_4,"['collections/puzzles.html', 'puzzles/products/personalized-owl-puzzle.html', '#2', '#1']"
R_1674847227_SA_6,"['collections/throw-pillows.html', 'throw-pillows/products/copy-of-custom-throw-pillow-girl-face.html', '#3', '#2', '#4', '#5']"
R_1674849684_SA_2,"['collections/notepads.html', 'notepads/products/personalized-green-chevron-notepad.html']"
R_1674855027_SA_4,"['collections/tote-bags.html', 'tote-bags/products/personalized-tote-bag-candy-corn.html', '#2', '#1']"
R_1674848366_SA_5,"['collections/puzzles.html', 'puzzles/products/personalized-puzzle-firefighter.html', '#49', '#48', '#1']"
R_1674858871_SA_6,"['collections/chore-charts.html', 'chore-charts/products/customized-chore-chart-notepad-boy.html', '#2', '#3', '#1', '#4']"
R_1674852600_SA_3,"['collections/notepads.html', 'notepads/products/a-note-from-mom-papaya-and-green.html', 'notepads/products/a-note-from-mom-blue-and-green.html']"
R_1674856577_SA_6,"['collections/note-cards.html', 'note-cards/products/custom-childrens-flat-cards-boy.html', '#1', '#5', '#3', '#2']"
R_1674868829_SA_5,"['collections/throw-pillows.html', 'throw-pillows/products/personalized-throw-pillow-pink-unicorn.html', '#1', '#3', '#2']"
R_1674855811_SA_3,"['collections/puzzles.html', 'puzzles/products/personalized-puzzle-mermaid.html', '#']"
R_1674843629_SA_2,"['collections/return-address-labels.html', 'return-address-labels/products/return-address-labels-merry-christmas-branch.html']"
R_1674850667_SA_5,"['collections/note-cards.html', 'note-cards/products/3-sibling-flat-note-cards-choose-your-silhouettes-test.html', '#3', '#1', '#2']"
R_1674856448_SA_4,"['collections/tote-bags.html', 'tote-bags/products/personalized-tote-bag-jack-olantern.html', '#2', '#1']"
R_1674844465_SA_2,"['collections/return-address-labels.html', 'return-address-labels/products/2-square-return-address-labels-tree-on-car.html']"
R_1674848966_SA_2,"['collections/teacher-gifts.html', 'teacher-gifts/products/personalized-teacher-notepad-red-school-uniforms-1.html']"
R_1674858092_SA_2,"['collections/return-address-labels.html', 'return-address-labels/products/2-square-return-address-labels-tree-on-car.html']"
R_1674847259_SA_3,"['collections/pillowcases.html', 'pillowcases/products/standard-pillowcase-mermaid.html', '#']"
R_1674858330_SA_6,"['collections/blankets.html', 'blankets/products/personalized-blanket-cursive-font.html', '#31', '#32', '#30', '#6']"
R_1674856270_SA_2,"['collections/notepads.html', 'notepads/products/personalized-notepads-for-mom-3-kids.html']"
R_1674852093_SA_3,"['collections/ceramic-mugs.html', 'ceramic-mugs/products/ceramic-mug-ballerina.html', '#']"
R_1674843626_SA_6,"['collections/name-labels.html', 'name-labels/products/custom-name-labels-boy.html', '#48', '#50', '#1', '#49']"
R_1674859489_SA_3,"['collections/notepads.html', 'notepads/products/a-note-from-mom-floral-bouquet.html', 'notepads/products/personalized-notepads-for-mom-3-kids.html']"
R_1674858438_SA_6,"['collections/blankets.html', 'blankets/products/personalized-blanket-uppercase-font.html', '#3', '#29', '#5', '#4']"
R_1674856608_SA_2,"['collections/gift-labels.html', 'gift-labels/products/gift-labels-floral.html']"
R_1674850359_SA_5,"['collections/tote-bags.html', 'tote-bags/products/personalized-tote-bag-black-cat.html', '#3', '#1', '#2']"
R_1674846373_SA_6,"['collections/gift-labels.html', 'gift-labels/products/custom-gift-labels-girl.html', '#1', '#2', '#79', '#3']"
R_1674860906_SA_6,"['collections/blankets.html', 'blankets/products/personalized-swaddle-blanket-uppercase-font.html', '#2', '#7', '#9', '#3']"
R_1674851944_SA_6,"['collections/blankets.html', 'blankets/products/personalized-blanket-cursive-font.html', '#30', '#1', '#32', '#8']"
R_1674853507_SA_2,"['collections/gift-labels.html', 'gift-labels/products/gift-labels-rainbow.html']"
R_1674850750_SA_4,"['collections/pillowcases.html', 'pillowcases/products/standard-pillowcase-ladybug.html', '#1', '#2']"
R_1674849003_SA_2,"['collections/return-address-labels.html', 'return-address-labels/products/square-return-address-labels-merry-christmas.html']"
R_1674849474_SA_6,"['collections/blankets.html', 'blankets/products/personalized-blanket-handwriting-font.html', '#5', '#6', '#7', '#4']"
R_1674857923_SA_2,"['collections/note-cards.html', 'note-cards/products/personalized-fire-truck-note-cards.html']"
R_1674852176_SA_6,"['collections/pillowcases.html', 'pillowcases/products/standard-pillowcase-firefighter.html', '#1', '#50', '#48', '#49']"
R_1674845370_SA_6,"['collections/note-cards.html', 'note-cards/products/custom-childrens-flat-cards-girl.html', '#4', '#1', '#87', '#2']"
R_1674863302_SA_6,"['collections/tote-bags.html', 'tote-bags/products/personalized-tote-bag-ghost.html', '#2', '#1', '#3', '#5']"
R_1674847158_SA_2,"['collections/gift-labels.html', 'gift-labels/products/gift-labels-rainbow.html']"
R_1674845477_SA_2,"['collections/notepads.html', 'notepads/products/a-note-from-mom-pink-banner.html']"
R_1674845194_SA_2,"['collections/notepads.html', 'notepads/products/personalized-teacher-notepad-learning-is-fun.html']"
R_1674851751_SA_3,"['collections/gift-labels.html', 'gift-labels/products/personalized-gift-labels-choose-your-silhouette-girl.html', '#1']"
R_1674851219_SA_5,"['collections/note-cards.html', 'note-cards/products/personalized-note-cards-bird.html', '#3', '#2', '#1']"
R_1674845415_SA_4,"['collections/tote-bags.html', 'tote-bags/products/personalized-tote-bag-jack-olantern.html', '#1', '#2']"
R_1674857262_SA_2,"['collections/gift-labels.html', 'gift-labels/products/gift-labels-flourish.html']"
R_1674857781_SA_2,"['collections/notepads.html', 'notepads/products/a-note-from-mom-pink-banner.html']"
R_1674845142_SA_3,"['collections/notepads.html', 'notepads/products/custom-notepads-for-mom-boy.html', '#']"
R_1674843647_SA_2,"['collections/name-labels.html', 'name-labels/products/name-labels-solid-blues.html']"
R_1674848249_SA_2,"['collections/note-cards.html', 'note-cards/products/personalized-rainbow-unicorn-note-cards.html']"
R_1674853261_SA_2,"['collections/return-address-labels.html', 'return-address-labels/products/2-square-return-address-labels-tree-on-car.html']"
R_1674850946_SA_3,"['collections/ceramic-mugs.html', 'ceramic-mugs/products/ceramic-mug-boy-in-truck.html', '#']"
R_1674848763_SA_2,"['collections/camp-mugs.html', 'camp-mugs/products/camp-mug-ladybug.html']"
R_1674853799_SA_6,"['collections/placemats.html', 'placemats/products/personalized-christmas-place-mat-girl.html', '#77', '#78', '#76', '#1']"
R_1674853111_SA_2,"['collections/teacher-gifts.html', 'teacher-gifts/products/personalized-green-chevron-notepad.html']"
R_1674869400_SA_6,"['collections/throw-pillows.html', 'throw-pillows/products/name-lumbar-pillow-handwriting.html', '#9', '#2', '#7', '#3']"
R_1674853566_SA_6,"['collections/blankets.html', 'blankets/products/personalized-swaddle-blanket-script-font.html', '#8', '#4', '#7', '#2']"
R_1674848587_SA_6,"['collections/blankets.html', 'blankets/products/personalized-swaddle-blanket-handwriting-font.html', '#1', '#3', '#8', '#6']"
R_1674856502_SA_2,"['collections/teacher-gifts.html', 'teacher-gifts/products/personalized-bookplates-kids-jumping.html']"
R_1674854941_SA_6,"['collections/blankets.html', 'blankets/products/personalized-swaddle-blanket-uppercase-font.html', '#6', '#9', '#2', '#3']"
R_1674844375_SA_4,"['collections/name-labels.html', 'name-labels/products/name-labels-pink-unicorn.html', '#2', '#1']"
R_1674845718_SA_3,"['collections/ceramic-mugs.html', 'ceramic-mugs/products/ceramic-mug-boy-in-truck.html', '#']"
R_1674849062_SA_6,"['collections/blankets.html', 'blankets/products/personalized-swaddle-blanket-handwriting-font.html', '#4', '#7', '#5', '#3']"
R_1674849853_SA_6,"['collections/tote-bags.html', 'tote-bags/products/personalized-tote-bag-halloween-owl.html', '#4', '#2', '#3', '#1']"
R_1674847887_SA_6,"['collections/throw-pillows.html', 'throw-pillows/products/patterned-name-lumbar-pillow-cursive.html', '#6', '#3', '#8', '#2']"
R_1674849477_SA_4,"['collections/chore-charts.html', 'chore-charts/products/handwriting-practice-notepad-papaya.html', '#1', '#2']"
R_1674855080_SA_4,"['collections/tote-bags.html', 'tote-bags/products/personalized-tote-bag-jack-olantern.html', '#1', '#2']"
R_1674849881_SA_2,"['collections/teacher-gifts.html', 'teacher-gifts/products/personalized-teacher-notepad-blue-school-uniforms.html']"
R_1674847230_SA_4,"['collections/chore-charts.html', 'chore-charts/products/handwriting-practice-notepad-papaya.html', '#2', '#1']"
R_1674859669_SA_2,"['collections/return-address-labels.html', 'return-address-labels/products/square-return-address-labels-reindeer.html']"
R_1674856084_SA_3,"['collections/ceramic-mugs.html', 'ceramic-mugs/products/ceramic-mug-ballerina.html', '#']"
R_1674854562_SA_3,"['collections/teacher-gifts.html', 'teacher-gifts/products/personalized-teacher-notepads.html', '#']"
R_1674857914_SA_6,"['collections/puzzles.html', 'puzzles/products/personalized-puzzle-tractor.html', 'puzzles/products/personalized-puzzle-firefighter.html', '#49', '#1', '#48']"
R_1674849805_SA_6,"['collections/throw-pillows.html', 'throw-pillows/products/patterned-name-lumbar-pillow-cursive.html', '#2', '#9', '#8', '#6']"
R_1674844865_SA_3,"['collections/camp-mugs.html', 'camp-mugs/products/camp-mug-superhero-boy.html', '#']"
R_1674854969_SA_3,"['collections/notepads.html', 'notepads/products/handwriting-practice-notepad-green.html', 'notepads/products/personalized-notepads-for-mom-3-kids.html']"
R_1674856848_SA_5,"['collections/pillowcases.html', 'pillowcases/products/standard-pillowcase-boy-with-snowman.html', 'pillowcases/products/standard-pillowcase-rainbow-unicorn.html', '#2', '#1']"
R_1674858855_SA_5,"['collections/puzzles.html', 'puzzles/products/personalized-puzzle-pink-unicorn.html', 'puzzles/products/personalized-owl-puzzle.html', '#1', '#2']"
R_1674859912_SA_2,"['collections/gift-labels.html', 'gift-labels/products/gift-labels-flourish.html']"
R_1674849798_SA_4,"['collections/tote-bags.html', 'tote-bags/products/copy-of-personalized-tote-bag-girl-face.html', '#1', '#2']"
R_1674844438_SA_3,"['collections/notepads.html', 'notepads/products/personalized-notepads-elizabeth.html', '#']"
R_1674860486_SA_3,"['collections/placemats.html', 'placemats/products/olliegraphic-placemat-ballerina.html', '#']"
R_1674844923_SA_3,"['collections/puzzles.html', 'puzzles/products/personalized-puzzle-superhero-boy.html', '#']"
R_1674861601_SA_6,"['collections/blankets.html', 'blankets/products/personalized-swaddle-blanket-uppercase-font.html', '#3', '#1', '#2', '#7']"
R_1674851232_SA_2,"['collections/teacher-gifts.html', 'teacher-gifts/products/personalized-blue-chevron-notepad.html']"
R_1674847920_SA_3,"['collections/pillowcases.html', 'pillowcases/products/standard-pillowcase-superhero-girl.html', '#']"
R_1674852124_SA_3,"['collections/pillowcases.html', 'pillowcases/products/standard-pillowcase-mermaid.html', '#']"
R_1674846056_SA_4,"['collections/name-labels.html', 'name-labels/products/name-labels-outer-space.html', '#1', '#2']"
R_1674856586_SA_6,"['collections/throw-pillows.html', 'throw-pillows/products/custom-throw-pillow-girl-face.html', '#3', '#1', '#2', '#89']"
R_1674856909_SA_2,"['collections/camp-mugs.html', 'camp-mugs/products/camp-mug-firetruck.html']"
R_1674855704_SA_3,"['collections/puzzles.html', 'puzzles/products/personalized-puzzle-boy.html', '#']"
R_1674845947_SA_5,"['collections/name-labels.html', 'name-labels/products/name-labels-pink-chevron.html', '#3', '#2', '#1']"
R_1674849444_SA_5,"['collections/puzzles.html', 'puzzles/products/personalized-puzzle-tractor.html', '#3', '#2', '#1']"
R_1674844924_SA_4,"['collections/pillowcases.html', 'pillowcases/products/standard-pillowcase-llama-mauve.html', '#1', '#2']"
R_1674858622_SA_6,"['collections/throw-pillows.html', 'throw-pillows/products/patterned-name-lumbar-pillow-uppercase.html', '#4', '#3', '#6', '#2']"
R_1674855642_SA_3,"['collections/camp-mugs.html', 'camp-mugs/products/camp-mug-boy.html', '#1']"
R_1674857139_SA_5,"['collections/gift-labels.html', 'gift-labels/products/custom-gift-labels-boy.html', '#1', '#52', '#51']"
R_1674857144_SA_2,"['collections/placemats.html', 'placemats/products/personalized-chevron-placemat-green.html']"
R_1674850125_SA_6,"['collections/placemats.html', 'placemats/products/personalized-kids-placemat-baby-dino.html', 'placemats/products/personalized-kids-placemat-owl.html', '#3', '#2', '#1']"
R_1674857828_SA_6,"['collections/throw-pillows.html', 'throw-pillows/products/name-lumbar-pillow-handwriting.html', '#9', '#6', '#7', '#2']"
R_1674847736_SA_4,"['collections/pillowcases.html', 'pillowcases/products/standard-pillowcase-great-outdoors-boy.html', 'pillowcases/products/standard-pillowcase-superhero-girl.html', '#']"
R_1674853644_SA_3,"['collections/teacher-gifts.html', 'teacher-gifts/products/personalized-teacher-notepad-school-days.html', '#1']"
R_1674846995_SA_3,"['collections/ceramic-mugs.html', 'ceramic-mugs/products/ceramic-mug-superhero-girl.html', '#']"
R_1674854587_SA_3,"['collections/ceramic-mugs.html', 'ceramic-mugs/products/ceramic-mug-boy.html', '#']"
